citizen_collocate,n
clause,186
green,186
injury,186
machine,185
ana,185
reporting,185
colonies,185
advice,185
ani,185
lincoln,185
tend,184
illustrious,184
connecticut,184
resolution,184
bit,184
injured,184
tells,184
corps,184
names,183
cited,183
simon,183
organizational,183
ethnic,183
conscientious,183
achieve,183
nr,182
cross,182
bureaucratic,182
attempts,182
announced,182
munity,182
louisiana,182
music,180
nuclear,180
cut,180
raise,180
involve,180
innocent,180
scene,179
philosopher,179
drive,179
psychology,179
bas,178
prisoner,178
belonging,178
perception,178
bureaucracy,177
net,177
effectiveness,177
pure,177
decide,177
game,177
filed,177
mar,177
sentiment,177
style,176
participa,176
reduced,176
hy,176
iowa,176
labour,176
facilities,176
cit,175
troops,175
fifth,175
northern,175
event,175
humanity,175
recreation,174
ticipation,174
ht,174
begin,174
assist,174
lately,174
conducted,174
conservative,174
scientific,174
polis,174
practices,173
referred,173
parts,173
pages,173
cheers,172
franklin,172
relatively,172
introduced,172
sector,172
kitchen,172
declares,172
treat,172
variety,172
selected,171
taylor,171
avoid,171
hiis,171
dealing,171
legislator,171
historian,170
wage,170
consequences,170
perceived,170
supply,169
tennessee,169
confederate,169
qualifications,169
economics,169
cuba,168
medal,168
jail,168
enable,168
render,168
unlike,168
expert,168
austrian,167
marshall,167
ideology,167
obviously,167
occurred,167
presents,167
preacher,166
reply,166
request,166
indi,166
franchise,166
advocate,166
dent,165
appointment,165
em,165
nod,164
tr,164
ibe,164
band,164
category,164
sea,164
eye,164
answered,164
scheme,164
addressed,164
chauffeur,163
ro,163
rt,163
detroit,163
assumption,163
strike,163
graduate,163
productive,163
courier,163
respecting,163
conversation,163
glad,163
argues,162
salary,162
asks,162
tonight,162
involving,162
panels,162
tammany,162
ih,162
completely,161
rendered,161
dalton,161
havo,160
afro,160
renewal,160
viewed,160
unknown,160
settled,160
chr,159
decorated,159
readers,159
tomorrow,159
getting,159
establishment,159
furn,159
morality,159
add,159
harris,158
pasadena,158
top,158
grounds,158
prefer,158
discussed,158
planners,158
represents,158
traffic,158
poll,158
distribution,158
suicide,158
dutch,157
bourgeois,157
regional,157
secret,157
internal,157
wisconsin,157
creation,157
vast,157
teach,157
regulations,156
fort,156
martin,156
setting,156
activism,156
florence,155
anl,155
struck,155
purchase,155
stage,155
bryan,155
ruler,154
bv,154
tue,154
ble,154
comment,154
ok,154
declare,154
aad,154
technology,154
splendid,153
neutral,153
instruction,153
aliens,153
findings,153
br,153
nut,153
generation,153
institutional,153
daniel,153
seriously,152
aspect,152
wlio,152
adults,152
discovered,152
exp,152
painting,152
proportion,152
drapes,152
fortune,152
competent,151
urge,151
plant,150
lake,150
sponsored,150
sentiments,150
spe,150
contains,150
search,150
hr,150
bearing,149
ages,149
examination,149
passive,149
vs,149
ca,149
dual,149
sen,149
judges,148
ur,148
uses,148
index,148
naturalised,148
couple,148
christ,148
preserve,148
please,147
homes,147
mail,147
possibly,147
joe,147
cal,147
agreement,147
removed,147
aver,147
speaker,147
accorded,147
obvious,146
discipline,146
card,146
achieved,146
orders,146
cial,146
imprisonment,146
practically,146
copy,146
royal,146
comments,145
loved,145
presence,145
drawn,145
ran,145
adams,145
md,145
courage,144
newspapers,144
therein,144
observed,144
responses,144
consequently,144
michael,144
justly,144
tlle,144
involves,144
geneva,144
joined,143
electoral,143
grave,143
guarantees,143
founded,143
remedy,143
ments,143
fell,143
satisfied,143
rabbi,143
profit,143
loses,143
wm,143
poetry,142
introduction,142
abstract,142
onr,142
text,141
threat,141
retired,141
houses,141
wood,141
concepts,141
participant,140
examine,140
fairly,140
civilized,140
partisan,139
pacific,139
gun,139
closely,139
benjamin,139
audience,139
magazine,139
effectively,139
bonds,138
lewis,138
separate,138
directed,138
hobbes,138
thn,138
start,138
personality,137
